,premisse,hypothèse,label
0,Je suis marié(e). Nous sommes mariés. Dois-je reconnaître mon enfant ?,la question concerne la catégorie Famille,0
1,Je mets un kot en location (bail de droit commun). Pour quels logements le permis de location est-il nécessaire en Wallonie ?,la question concerne la catégorie Logement,0
2,Quand faire l'état des lieux à Bruxelles ?,la question concerne la catégorie Logement,0
3,Je suis parent. Dois-je encore payer une contribution alimentaire si je n'ai plus de contact avec mes enfants ?,la question concerne la catégorie Famille,0
4,Quel bail est considéré comme un bail 9 ans à Bruxelles ?,la question concerne la catégorie Logement,0
5,"Je viens d’obtenir un logement social, comment puis-je rompre mon bail en cours en Wallonie ?",la question concerne la catégorie Logement,0
6,Comment introduire un recours contre la décision d’un organisme de sécurité sociale à Bruxelles ?,la question concerne la catégorie Logement,0
7,J'ai signé une déclaration de cohabitation légale. Dois-je payer les dettes de mon cohabitant légal ?,la question concerne la catégorie Famille,0
8,J'ai divorcé pour cause de désunion irrémédiable. Puis-je modifier le montant de la pension alimentaire ?,la question concerne la catégorie Famille,0
9,Le propriétaire peut-il mettre fin au bail non officiel de colocation avant l’échéance à Bruxelles ?,la question concerne la catégorie Logement,0
10,Je suis marié(e). Dois-je rester fidèle à mon époux(se) ?,la question concerne la catégorie Famille,0
11,Les parents ne sont pas mariés ensemble. La mère de l'enfant est mariée à quelqu'un d'autre que le père. Peut-on me réclamer une aide financière pour l'enfant si je suis son père biologique mais pas légal ?,la question concerne la catégorie Famille,0
12,Je suis marié(e). Mon conjoint peut-il m'obliger à travailler pour faire face aux dépenses du ménage ?,la question concerne la catégorie Famille,0
13,L'expulsion est-elle interrompue si je suis en RCD (réglement collectif de dettes) à Bruxelles ?,la question concerne la catégorie Logement,0
14,Je me sépare. Comment se déroule la procédure de mesures urgentes et provisoires entre cohabitants légaux ?,la question concerne la catégorie Famille,0
15,Les père et mère de l'enfant résident ensemble. Que faire si l'autre parent a pris une décision avec laquelle je ne suis pas d'accord concernant notre enfant mineur ?,la question concerne la catégorie Famille,0
16,A quelles conditions puis-je être mis sous administration de biens et/ou de la personne ?,la question concerne la catégorie Famille,0
17,Quelles démarches effectuer après l'accouchement pour être considérée comme la maman de l'enfant ?,la question concerne la catégorie Famille,0
18,"Si mon bail étudiant n'est pas enregistré, puis-je y mettre fin sans préavis, ni indemnité à Bruxelles ?",la question concerne la catégorie Logement,0
19,Peut-on réclamer un loyer à un colocataire qui est parti à Bruxelles ?,la question concerne la catégorie Logement,0
20,Quelles sont les réparations à charge du propriétaire à Bruxelles ?,la question concerne la catégorie Logement,0
21,Que faire si mes enfants m'empèchent de voir mes petits-enfants ?,la question concerne la catégorie Famille,0
22,Comment se déroule une expulsion en Wallonie ?,la question concerne la catégorie Logement,0
23,"Si mon bail n'est pas enregistré, puis-je y mettre fin sans préavis, ni indemnité à Bruxelles ?",la question concerne la catégorie Logement,0
24,Comment désigner une personne de confiance ?,la question concerne la catégorie Famille,0
25,Mon propriétaire peut-il m'expulser si je suis en retard de paiement en Wallonie ?,la question concerne la catégorie Logement,0
